lat,lng,location
30.2569741,-97.7030894,E 7Th St & Gunter St in Austin (TX)
30.2578299,-97.7025735,Gonzales And Gunter in Austin (TX)
30.257222,-97.700908,Springdale And Gonzales St in Austin (TX)
30.257431,-97.702248,3511 Gonzales in Austin (TX)
30.23474,-97.7769008,3603 South Ridge Dr in Austin (TX)
30.236906,-97.774829,3300 Dolphin Drive in Austin (TX)
30.2306688,-97.7802356,1502 Summer Stone Dr in Austin (TX)
30.23474,-97.7769008,3603 Southridge Dr in Austin (TX)
30.236601,-97.7765493,Valleyridge Dr & S Oak Dr in Austin (TX)
30.2005471,-97.8258126,Finch Trl And Norfolk in Austin (TX)
30.261112,-97.709098,Garwood And N Pleasant Valley in Austin (TX)
30.200608,-97.82302,2805 Norfolk Drive in Austin (TX)
30.201594,-97.823986,2816 Norfolk Dr in Austin (TX)
30.1947731,-97.8220282,Gettysburg Dr And Seminary Ridge Dr in Austin (TX)
30.2011746,-97.8252091,Goldbridge And Norfolk in Austin (TX)
30.2023751,-97.8385068,8106 Brodie Ln in Austin (TX)
30.2022945,-97.8224283,Inridge Dr/ Westgate in Austin (TX)
30.224047,-97.779855,4411 Hank Ave in Austin (TX)
30.2241112,-97.7835413,Redd / Manchaca in Austin (TX)
30.2223439,-97.7799005,Redd St & Jinx Ave in Austin (TX)
30.225706,-97.780674,4309 Banister/Casey in Austin (TX)
30.2234577,-97.7821987,Redd And Banister in Austin (TX)
30.2230526,-97.6991279,Montopolis/ Riverside Dr in Austin (TX)
30.267153,-97.7430608,Alum Rock Drive/Broad Brook in Austin (TX)
30.1498574,-97.749012,9024 Ipswich Bay Dr in Austin (TX)
30.267153,-97.7430608,Panadera in Austin (TX)
30.199717,-97.7320347,Cottonwood St And Apple Orchard Ln in Austin (TX)
30.197687,-97.733476,5400 Fence Row in Austin (TX)
30.2660703,-97.7691348,2100 Barton Springs Rd in Austin (TX)
30.1839103,-97.7319198,5400 Jimmy Clay Dr in Austin (TX)
30.2373128,-97.7167525,Elmont Dr/Pleasant Valley in Austin (TX)
30.200169,-97.70627,7000 Burleson Rd in Austin (TX)
30.1927372,-97.7154699,4200 Smith School Rd in Austin (TX)
30.267153,-97.7430608,Mc Kinney Falls/ Charles Goodwright in Austin (TX)
30.1414146,-97.832609,12117 Manchaca in Austin (TX)
30.245062,-97.913144,7701 Pitter Pat Ln in Austin (TX)
30.1402559,-97.8320106,1011 Fm 1626 in Travis (TX)
30.1414146,-97.832609,12117 Manchaca Rd in Austin (TX)
30.235231,-97.895944,8200 Landsman in Austin (TX)
30.1756993,-97.780899,8128 N Ih 35 in Austin (TX)
30.434166,-97.6756862,1801 Wells Branch in Travis (TX)
30.4245879,-97.7508507,12116 Research Blvd in Austin (TX)
31.1354588,-97.0027678,Bois D' Ard Rd/ Tower Ln in Travis (TX)
30.2345173,-97.8131001,4892 W Us 290 in Sunset Valley (TX)
30.178808,-97.7562379,4612 Blue Meadow Dr in Austin (TX)
30.1805301,-97.7584409,6209  Hyland Cir in Austin (TX)
30.207779,-97.852967,4604 Molera in Austin (TX)
30.2076794,-97.8529028,4602 Molera Dr in Austin (TX)
30.39659,-97.689794,12005 Shady Springs Rd in Austin (TX)
30.394598,-97.6922992,11901 Swearingen in Austin (TX)
30.4393696,-97.6200043,Pflugerville (TX)
30.3447022,-97.7052328,124 W Anderson Ln in Austin (TX)
30.3385805,-97.7139178,Guadalupe St And W Odell St in Austin (TX)
30.3377868,-97.7144088,W St Johns Ave And Guadalupe St in Austin (TX)
