"lat","lng","total","bird","cat","dog","livestock","other","year2013","year2014","year2015","year2016","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23"
30.27125,-97.8462,4,0,0,1,0,3,0,1,3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
30.18125,-97.8306,331,0,129,180,0,22,27,100,120,84,10,22,27,15,35,37,32,40,29,30,36,18,2,1,0,1,0,0,0,6,10,4,23,43,50,44,37,29,26,21,24,3,2,2,1,2
30.20375,-97.8306,234,0,82,145,0,7,12,84,68,70,15,15,15,20,39,28,11,11,20,24,18,18,0,2,0,0,0,0,1,10,5,2,11,41,43,21,20,26,24,11,12,2,0,0,2,1
30.22625,-97.8306,84,1,24,58,0,1,6,38,18,22,5,2,2,4,9,10,4,10,8,7,16,7,0,0,0,0,0,0,0,5,2,0,10,16,9,12,11,3,5,7,2,0,1,1,0,0
30.24875,-97.8306,17,0,4,11,0,2,0,5,10,2,4,0,1,3,1,1,2,2,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,3,3,1,1,2,0,1,0,1,0,0,0
30.27125,-97.8306,10,0,7,2,0,1,0,6,2,2,1,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,1,0,0,0,0,0,0
30.18125,-97.815,225,0,117,104,0,4,8,65,76,76,8,17,10,18,35,39,18,21,21,17,10,11,0,0,2,0,0,0,0,6,6,4,11,37,34,24,27,33,14,9,7,2,2,4,1,2
30.20375,-97.815,297,0,149,138,0,10,10,102,87,98,16,11,15,22,37,28,23,30,36,35,26,18,3,1,0,0,0,1,2,6,10,4,9,48,57,24,30,45,26,9,12,8,0,1,1,0
30.22625,-97.815,53,0,21,27,0,5,1,18,13,21,2,1,9,3,8,4,8,3,4,5,4,2,0,0,0,0,0,0,0,0,0,3,0,12,5,2,9,4,5,0,11,1,0,1,0,0
30.24875,-97.815,6,0,1,4,0,1,0,1,2,3,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
30.27125,-97.815,36,0,11,16,0,9,3,8,12,13,0,1,5,5,7,5,4,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3,12,5,4,4,3,3,1,0,0,0,0,1
30.18125,-97.7994,331,1,143,176,0,11,24,108,116,83,15,15,20,24,39,27,37,27,28,54,27,18,0,0,0,0,0,0,1,3,9,4,8,92,41,38,26,34,28,14,20,0,3,1,6,3
30.20375,-97.7994,351,4,151,188,0,8,28,105,123,95,14,21,22,41,38,33,31,29,29,37,41,15,2,0,0,0,0,0,3,11,20,6,6,58,44,37,42,21,31,40,17,3,4,2,2,2
30.22625,-97.7994,440,2,155,271,0,12,58,209,108,65,25,23,30,46,68,52,33,27,14,60,36,26,5,1,0,0,0,0,29,96,56,20,12,34,40,26,16,16,25,20,14,2,2,8,12,6
30.24875,-97.7994,51,0,18,29,0,4,4,14,18,15,2,1,4,3,3,7,2,7,7,6,7,2,0,0,0,0,0,0,0,0,0,0,1,19,6,4,5,3,7,2,3,0,0,1,0,0
30.27125,-97.7994,25,0,7,14,0,4,3,7,5,10,2,0,4,3,1,2,6,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,6,1,1,2,2,4,3,2,0,0,0,0,0
