lat,lng,location
30.206464,-97.786363,6001 Cougar Dr in Austin (TX)
30.172655900000002,-97.8241625,Manchaca/ Slaughter in Austin (TX)
30.394128600000002,-97.74968559999999,Great Hills Trail in Austin (TX)
30.1713515,-97.62425520000001,5704 Arcadia Cir in Del Valle (TX)
30.1256152,-97.8117931,Old San Antonio Rd in Travis (TX)
30.268277,-97.4602632,Deidra Drive in Travis (TX)
30.180880199999997,-97.75027879999999,East William Cannon in Austin (TX)
30.309491700000002,-97.74074990000001,4106 N Lamar in Austin (TX)
30.1487494,-97.76944040000001,1601 E Slaughter Ln in Travis (TX)
30.335722999999998,-97.5613171,Lapoynor St in Manor (TX)
30.231101799999998,-97.7296995,2201 Willow Creek Dr in Austin (TX)
30.368431,-97.686971,10303 Georgian Dr in Austin (TX)
30.2006584,-97.7472497,4400 Franklin  Park in Travis (TX)
30.3080053,-97.9541065,71 And Bee Caves in Austin (TX)
30.433975399999994,-97.6775622,14100 Thermal Dr in Austin (TX)
30.283993,-97.618424,9611 Decker Lake Rd in Travis (TX)
30.207151399999997,-97.81551209999999,Westgate And William Cannon in Austin (TX)
30.2366554,-97.93670859999999,9100 Meadow Green in Austin (TX)
30.2329277,-97.70568659999999,Grove/ Fairway in Austin (TX)
30.225308399999996,-97.725376,E Riverside in Austin (TX)
30.194546999999996,-97.855283,9220 Ovalla Dr in Austin (TX)
30.393882799999997,-97.75383719999999,9617 Great Hills Trl in Austin (TX)
30.4393696,-97.62000429999999,Immunell in Pflugerville (TX)
30.3608374,-97.7191306,1515 Fairfield in Austin (TX)
30.2314364,-97.79577629999999,4434 Frontier Trail in Austin (TX)
30.3666995,-97.5206441,14314 Commins Way in Manor (TX)
30.267153000000004,-97.7430608,Shropshire/Alamo in Austin (TX)
30.451999,-97.68147900000001,2600 Mallard Green Cove in Austin (TX)
30.223047100000002,-97.7986817,Jones Rd And Buffalo Pass in Austin (TX)
30.3351912,-97.736275,1902 Alguno Rd in Austin (TX)
30.234512199999998,-98.0112066,12401 Pauls Valley Rd in Austin (TX)
30.197754999999997,-97.73978000000001,Cedar Grove Dr And Copperbend Blvd in Austin (TX)
30.4239723,-97.6474906,14850 Harris Ridge Blvd in Austin (TX)
30.233436100000002,-97.83840390000002,4701 Staggerbrush in Austin (TX)
30.25486230000001,-97.57893,15005 Nuttall Dr in Austin (TX)
30.209106899999995,-97.6472349,Del Valle (TX)
30.22471070000001,-97.7846486,Redd St And Diane Dr in Austin (TX)
30.2108425,-97.6494729,2815 E 71 in Austin (TX)
30.348232,-97.524214,12924 Ceder St in Manor (TX)
30.1895077,-97.7553944,Dove Springs And Wagon Crossing in Austin (TX)
30.7591685,-97.6982272,Williamson (TX)
30.2923489,-97.663495,Hwy 183 And  51St  St in Austin (TX)
30.185727500000002,-97.55116149999999,5246 E 71 in Travis (TX)
30.152221,-97.84069699999999,11410 Jim Thorte in Austin (TX)
30.3808935,-97.7601952,8425 Adirondack Trail in Austin (TX)
30.3447022,-97.7052328,124 West Anderson in Austin (TX)
30.2861333,-97.744849,10Th /Rio Grande in Austin (TX)
30.239061,-97.73593199999999,1804 Madagorda in Austin (TX)
30.142588300000003,-97.8010106,183/Fm 812 in Austin (TX)
30.150142,-97.80904699999999,10816  Clubhouse Trun Dr in Austin (TX)
30.200644099999998,-97.8654368,Slaughter Lane And Mopac in Austin (TX)
30.17793,-97.75413499999999,6913 Old Post Loop in Austin (TX)
30.240685,-97.93992800000001,10505 Circle Dr. in Travis (TX)
30.214454999999997,-97.73432199999999,4501 E. Ben White in Austin (TX)
30.4253743,-97.7528821,12034 Research Blvd in Austin (TX)
30.220062,-97.51803000000001,1801 Citation Dr in Del Valle (TX)
30.454658000000002,-97.80482099999999,10707 Lake Creek Parkway in Austin (TX)
30.188599199999995,-97.6948309,Burleson And Airport in Austin (TX)
30.335688,-97.87069,1001 Pres Arriba Rd in Austin (TX)
30.25486230000001,-97.57893,15005 Nuttall in Austin (TX)
30.2239191,-97.68211240000001,71 And 183 in Austin (TX)
30.2527847,-97.6904186,7201 Levander Loop in Austin (TX)
30.29080200000001,-97.680177,3500 Pecan Springs Rd in Austin (TX)
30.4532545,-97.6814555,Bratton Ln & Shoreline Dr in Austin (TX)
31.1354588,-97.0027678,16100 N Ih 35 & Greenlawn Blvd in Travis (TX)
30.193955,-97.7405898,Stassney And William Cannon in Austin (TX)
30.3868692,-97.6485189,Dessau And Parmer in Austin (TX)
30.305177,-97.731512,Hyde Park in Austin (TX)
30.232303299999998,-97.7203892,Riverside And Wickersham in Austin (TX)
30.198453999999998,-97.73904,4813 Copperbend Blvd in Austin (TX)
30.288162,-97.74783199999999,24Th And San Gabriel in Austin (TX)
30.19388630000001,-97.8848773,Lacrosse And Escarpment in Austin (TX)
30.3527375,-97.6672978,9701 Brown Ln in Austin (TX)
30.460046000000002,-97.78479759999999,9705 Meadowheath Dr in Austin (TX)
30.265573600000003,-97.69551640000002,Airport And Springdale in Austin (TX)
30.148151000000002,-97.666514,10714 San Jose Ave Lot R in Austin (TX)
30.3820877,-97.6765673,Whitewing Ave & Covington Dr E in Austin (TX)
30.2536393,-97.7587058,S 5Th & W Gibson in Austin (TX)
30.375168699999996,-97.6905747,10520 N. Lamar in Austin (TX)
30.3783625,-97.69154759999999,903 Wagon Trl in Austin (TX)
30.1942044,-97.8843213,Escarpment in Austin (TX)
30.267153000000004,-97.7430608,Ray  And Means in Austin (TX)
30.1886522,-97.7787396,William Cannon And Circle S Rd in Austin (TX)
30.382468,-97.66279399999999,11916  Thompkins Dr in Austin (TX)
30.414049,-97.629428,14401  Kodiak Ln in Pflugerville (TX)
30.30770900000001,-97.673568,6257 Manor Rd in Austin (TX)
30.1628267,-97.7419984,6417 Tara Dr in Austin (TX)
30.2489369,-97.5778842,15208 Fm 969 in Austin (TX)
30.266693,-97.811421,3602 Stoneridge Rd in Austin (TX)
30.29778300000001,-97.763026,40 N 35 Towers Of Town Lake in Austin (TX)
30.327709999999996,-97.689386,1443 Coronado Hills in Austin (TX)
30.3476094,-97.6988632,8225 Sam Rayburn Dr. in Austin (TX)
30.31973,-97.851765,401 Barrett Ln in Travis (TX)
30.319274,-97.66978399999999,7109 Fred Morse Dr in Austin (TX)
30.204469,-97.755886,1700 Teri Rd in Austin (TX)
30.116524,-97.703473,9814 Rodriguez Rd in Austin (TX)
30.224922999999997,-97.77715699999999,4300 Mt Vernon Dr in Austin (TX)
